count, actual, probability1, errorPercentage1, probability2, errorPercentage2, probability3, errorPercentage3
1, 0.0021433471, 0.0000000000, -100.000%, 0.0000000000,  -100.000%, 0.0000000000, -100.000%
800001, 0.0021433471, 0.0023749970, 10.808%, 0.0017499978,  -18.352%, 0.0013749983, -35.848%
1600001, 0.0021433471, 0.0012499992, -41.680%, 0.0027499983,  28.304%, 0.0024374985, 13.724%
2400001, 0.0021433471, 0.0025833323, 20.528%, 0.0021666658,  1.088%, 0.0021249991, -0.856%
3200001, 0.0021433471, 0.0019999994, -6.688%, 0.0021562493,  0.602%, 0.0020937493, -2.314%
4000001, 0.0021433471, 0.0018999995, -11.354%, 0.0017749996,  -17.186%, 0.0015999996, -25.350%
4800001, 0.0021433471, 0.0020208329, -5.716%, 0.0023541662,  9.836%, 0.0024374995, 13.724%
5600001, 0.0021433471, 0.0022321425, 4.143%, 0.0018392854,  -14.186%, 0.0020892853, -2.522%
6400001, 0.0021433471, 0.0020312497, -5.230%, 0.0019218747,  -10.333%, 0.0023437496, 9.350%
7200001, 0.0021433471, 0.0019722219, -7.984%, 0.0021944441,  2.384%, 0.0021388886, -0.208%
8000001, 0.0021433471, 0.0020749997, -3.189%, 0.0020624997,  -3.772%, 0.0022874997, 6.726%
8800001, 0.0021433471, 0.0024545452, 14.519%, 0.0018295452,  -14.641%, 0.0022954543, 7.097%
9600001, 0.0021433471, 0.0021145831, -1.342%, 0.0019166665,  -10.576%, 0.0023333331, 8.864%
10400001, 0.0021433471, 0.0019903844, -7.137%, 0.0021538459,  0.490%, 0.0019326921, -9.828%
11200001, 0.0021433471, 0.0022142855, 3.310%, 0.0022410712,  4.559%, 0.0018928570, -11.687%
12000001, 0.0021433471, 0.0019749998, -7.854%, 0.0023333331,  8.864%, 0.0020083332, -6.299%
12800001, 0.0021433471, 0.0019453123, -9.240%, 0.0020624998,  -3.772%, 0.0023124998, 7.892%
13600001, 0.0021433471, 0.0020661763, -3.600%, 0.0020147057,  -6.002%, 0.0021029410, -1.885%
14400001, 0.0021433471, 0.0021180554, -1.180%, 0.0020069443,  -6.364%, 0.0019791665, -7.660%
15200001, 0.0021433471, 0.0022302630, 4.055%, 0.0023223683,  8.352%, 0.0023092104, 7.739%
16000001, 0.0021433471, 0.0020937499, -2.314%, 0.0020749999,  -3.189%, 0.0021562499, 0.602%
16800001, 0.0021433471, 0.0020476189, -4.466%, 0.0020119046,  -6.133%, 0.0022023808, 2.754%
17600001, 0.0021433471, 0.0020454544, -4.567%, 0.0020852272,  -2.712%, 0.0022386362, 4.446%
18400001, 0.0021433471, 0.0021630434, 0.919%, 0.0021413042,  -0.095%, 0.0022065216, 2.947%
19200001, 0.0021433471, 0.0021093749, -1.585%, 0.0023020832,  7.406%, 0.0021406249, -0.127%
20000001, 0.0021433471, 0.0021649999, 1.010%, 0.0020649999,  -3.655%, 0.0020799999, -2.956%
