Winning Round, 4 Win_1, Win Count_1, 4 Win_2, Win Count_2, 4 Win_3, Win Count_3,  
0, 139525, 0, 657938, 0, 78592, 0, 
1, 139525, 0, 657938, 0, 78592, 0, 
2, 139525, 0, 657938, 0, 78592, 0, 
3, 139525, 0, 657938, 0, 78592, 0, 
4, 139525, 345, 657938, 318, 78592, 339, 
5, 139525, 1396, 657938, 1349, 78592, 1324, 
6, 139525, 3524, 657938, 3602, 78592, 3518, 
7, 139525, 7115, 657938, 7274, 78592, 7145, 
8, 139525, 13051, 657938, 13343, 78592, 13247, 
9, 139525, 21936, 657938, 21734, 78592, 21687, 
10, 139525, 33512, 657938, 33886, 78592, 33426, 
11, 139525, 49496, 657938, 48952, 78592, 48922, 
12, 139525, 69549, 657938, 69639, 78592, 69553, 
13, 139525, 95977, 657938, 95572, 78592, 95570, 
14, 139525, 127424, 657938, 127636, 78592, 127846, 
15, 139525, 167113, 657938, 166532, 78592, 166938, 
16, 139525, 213862, 657938, 213023, 78592, 213379, 
17, 139525, 269603, 657938, 269672, 78592, 270106, 
18, 139525, 335148, 657938, 334017, 78592, 334695, 
19, 139525, 410046, 657938, 410474, 78592, 409806, 
20, 139525, 496316, 657938, 497040, 78592, 497477, 
21, 139525, 593950, 657938, 593895, 78592, 594437, 
22, 139525, 704024, 657938, 703997, 78592, 704003, 
23, 139525, 826294, 657938, 826057, 78592, 825292, 
24, 139525, 959826, 657938, 960096, 78592, 961507, 
25, 139525, 1108602, 657938, 1109373, 78592, 1106072, 
26, 139525, 1268736, 657938, 1267894, 78592, 1268415, 
27, 139525, 1439413, 657938, 1438714, 78592, 1439116, 
28, 139525, 1618112, 657938, 1621231, 78592, 1617257, 
29, 139525, 1812112, 657938, 1809662, 78592, 1809858, 
30, 139525, 2007692, 657938, 2008175, 78592, 2009519, 
31, 139525, 2209150, 657938, 2212480, 78592, 2213350, 
32, 139525, 2412775, 657938, 2418915, 78592, 2416872, 
33, 139525, 2621357, 657938, 2625703, 78592, 2622012, 
34, 139525, 2823592, 657938, 2823822, 78592, 2824718, 
35, 139525, 3017992, 657938, 3019811, 78592, 3019098, 
36, 139525, 3200979, 657938, 3199958, 78592, 3200443, 
37, 139525, 3373317, 657938, 3374220, 78592, 3372080, 
38, 139525, 3524438, 657938, 3526228, 78592, 3527001, 
39, 139525, 3658850, 657938, 3656832, 78592, 3656443, 
40, 139525, 3761250, 657938, 3764272, 78592, 3762131, 
41, 139525, 3842927, 657938, 3840781, 78592, 3845853, 
42, 139525, 3893923, 657938, 3889380, 78592, 3891385, 
43, 139525, 3905185, 657938, 3906333, 78592, 3907997, 
44, 139525, 3889880, 657938, 3893225, 78592, 3887922, 
45, 139525, 3838307, 657938, 3835425, 78592, 3836783, 
46, 139525, 3755654, 657938, 3754925, 78592, 3754749, 
47, 139525, 3639590, 657938, 3638919, 78592, 3637137, 
48, 139525, 3479971, 657938, 3479661, 78592, 3482442, 
49, 139525, 3294456, 657938, 3291131, 78592, 3293472, 
50, 139525, 3077297, 657938, 3075710, 78592, 3077046, 
51, 139525, 2839628, 657938, 2836339, 78592, 2837639, 
52, 139525, 2583730, 657938, 2581775, 78592, 2583213, 
53, 139525, 2320362, 657938, 2314102, 78592, 2314391, 
54, 139525, 2041705, 657938, 2043931, 78592, 2043946, 
55, 139525, 1771660, 657938, 1770619, 78592, 1771542, 
56, 139525, 1507558, 657938, 1506850, 78592, 1506814, 
57, 139525, 1252821, 657938, 1254588, 78592, 1252732, 
58, 139525, 1020765, 657938, 1022616, 78592, 1022043, 
59, 139525, 808526, 657938, 810282, 78592, 810211, 
60, 139525, 622981, 657938, 622390, 78592, 623772, 
61, 139525, 464416, 657938, 465622, 78592, 464982, 
62, 139525, 333004, 657938, 333277, 78592, 332705, 
63, 139525, 228373, 657938, 228290, 78592, 228137, 
64, 139525, 148230, 657938, 147069, 78592, 147160, 
65, 139525, 89400, 657938, 90073, 78592, 89665, 
66, 139525, 50179, 657938, 50026, 78592, 50437, 
67, 139525, 25637, 657938, 25188, 78592, 25114, 
68, 139525, 11008, 657938, 11055, 78592, 11009, 
69, 139525, 3870, 657938, 3937, 78592, 3950, 
70, 139525, 950, 657938, 952, 78592, 1024, 
71, 139525, 133, 657938, 131, 78592, 126, 
72, 139525, 0, 657938, 0, 78592, 0, 
73, 139525, 0, 657938, 0, 78592, 0, 
74, 139525, 0, 657938, 0, 78592, 0, 
