Count, Area
10, 137.200, 153.938
100, 160.720, 153.938
1000, 154.252, 153.938
10000, 152.625, 153.938
100000, 153.413, 153.938
1000000, 154.047, 153.938
10000000, 153.890, 153.938
100000000, 153.901, 153.938
10, 156.800, 153.938
100, 154.840, 153.938
1000, 147.196, 153.938
10000, 154.526, 153.938
100000, 153.784, 153.938
1000000, 153.916, 153.938
10000000, 153.937, 153.938
100000000, 153.892, 153.938
10, 137.200, 153.938
100, 154.840, 153.938
1000, 156.996, 153.938
10000, 152.841, 153.938
100000, 154.032, 153.938
1000000, 153.781, 153.938
10000000, 153.909, 153.938
100000000, 153.894, 153.938
10, 156.800, 153.938
100, 148.960, 153.938
1000, 153.272, 153.938
10000, 154.820, 153.938
100000, 153.980, 153.938
1000000, 153.996, 153.938
10000000, 153.888, 153.938
100000000, 153.888, 153.938
10, 137.200, 153.938
100, 160.720, 153.938
1000, 152.292, 153.938
10000, 152.331, 153.938
100000, 153.774, 153.938
1000000, 153.970, 153.938
10000000, 153.864, 153.938
100000000, 153.893, 153.938
10, 156.800, 153.938
100, 148.960, 153.938
1000, 151.508, 153.938
10000, 155.134, 153.938
100000, 154.036, 153.938
1000000, 153.968, 153.938
10000000, 153.915, 153.938
100000000, 153.880, 153.938
10, 156.800, 153.938
100, 150.920, 153.938
1000, 156.212, 153.938
10000, 154.605, 153.938
100000, 153.907, 153.938
1000000, 153.797, 153.938
10000000, 153.945, 153.938
100000000, 153.894, 153.938
10, 137.200, 153.938
100, 160.720, 153.938
1000, 155.232, 153.938
10000, 153.919, 153.938
100000, 154.193, 153.938
1000000, 153.891, 153.938
10000000, 153.935, 153.938
100000000, 153.915, 153.938
10, 117.600, 153.938
100, 158.760, 153.938
1000, 154.252, 153.938
10000, 152.214, 153.938
100000, 153.382, 153.938
1000000, 154.035, 153.938
10000000, 153.842, 153.938
100000000, 153.895, 153.938
10, 176.400, 153.938
100, 164.640, 153.938
1000, 155.232, 153.938
10000, 154.252, 153.938
100000, 153.913, 153.938
1000000, 153.970, 153.938
10000000, 153.900, 153.938
100000000, 153.900, 153.938
