total pi gosa
1000 3.128000 1.359265e-02
1000 3.216000 7.440735e-02
1000 3.216000 7.440735e-02
1000 3.132000 9.592654e-03
1000 3.108000 3.359265e-02
1000 3.136000 5.592654e-03
1000 3.028000 1.135927e-01
1000 3.092000 4.959265e-02
1000 3.088000 5.359265e-02
1000 3.124000 1.759265e-02
2000 3.154000 1.240735e-02
2000 3.142000 4.073464e-04
2000 3.208000 6.640735e-02
2000 3.208000 6.640735e-02
2000 3.154000 1.240735e-02
2000 3.116000 2.559265e-02
2000 3.168000 2.640735e-02
2000 3.136000 5.592654e-03
2000 3.164000 2.240735e-02
2000 3.170000 2.840735e-02
4000 3.163000 2.140735e-02
4000 3.109000 3.259265e-02
4000 3.116000 2.559265e-02
4000 3.111000 3.059265e-02
4000 3.111000 3.059265e-02
4000 3.177000 3.540735e-02
4000 3.136000 5.592654e-03
4000 3.154000 1.240735e-02
4000 3.162000 2.040735e-02
4000 3.163000 2.140735e-02
8000 3.136000 5.592654e-03
8000 3.138000 3.592654e-03
8000 3.136000 5.592654e-03
8000 3.133500 8.092654e-03
8000 3.124500 1.709265e-02
8000 3.124500 1.709265e-02
8000 3.142500 9.073464e-04
8000 3.132500 9.092654e-03
8000 3.167500 2.590735e-02
8000 3.120000 2.159265e-02
16000 3.143500 1.907346e-03
16000 3.148250 6.657346e-03
16000 3.140500 1.092654e-03
16000 3.130750 1.084265e-02
16000 3.137000 4.592654e-03
16000 3.137000 4.592654e-03
16000 3.137000 4.592654e-03
16000 3.138750 2.842654e-03
16000 3.154000 1.240735e-02
16000 3.166250 2.465735e-02
32000 3.147000 5.407346e-03
32000 3.133875 7.717654e-03
32000 3.140875 7.176536e-04
32000 3.134375 7.217654e-03
32000 3.136375 5.217654e-03
32000 3.135875 5.717654e-03
32000 3.139000 2.592654e-03
32000 3.139000 2.592654e-03
32000 3.145750 4.157346e-03
32000 3.136375 5.217654e-03
64000 3.148312 6.719846e-03
64000 3.137000 4.592654e-03
64000 3.143250 1.657346e-03
64000 3.143625 2.032346e-03
64000 3.135250 6.342654e-03
64000 3.128938 1.265515e-02
64000 3.130562 1.103015e-02
64000 3.143187 1.594846e-03
64000 3.143187 1.594846e-03
64000 3.133875 7.717654e-03
128000 3.136156 5.436404e-03
128000 3.141906 3.135964e-04
128000 3.139562 2.030154e-03
128000 3.138688 2.905154e-03
128000 3.141938 3.448464e-04
128000 3.144344 2.751096e-03
128000 3.151500 9.907346e-03
128000 3.143656 2.063596e-03
128000 3.143281 1.688596e-03
128000 3.143281 1.688596e-03
256000 3.142297 7.042214e-04
256000 3.143219 1.626096e-03
256000 3.146234 4.641721e-03
256000 3.143891 2.297971e-03
256000 3.138375 3.217654e-03
256000 3.138734 2.858279e-03
256000 3.147859 6.266721e-03
256000 3.141328 2.645286e-04
256000 3.146203 4.610471e-03
256000 3.143250 1.657346e-03
512000 3.144000 2.407346e-03
512000 3.144000 2.407346e-03
512000 3.142375 7.823464e-04
512000 3.139336 2.256716e-03
512000 3.144133 2.540159e-03
512000 3.143680 2.087034e-03
512000 3.136578 5.014529e-03
512000 3.139914 1.678591e-03
512000 3.141609 1.672141e-05
512000 3.140164 1.428591e-03
