total area gosa
1000 156.408000 2.469960
1000 153.272000 0.666040
1000 155.624000 1.685960
1000 152.880000 1.058040
1000 157.192000 3.253960
1000 160.916000 6.977960
1000 152.292000 1.646040
1000 151.312000 2.626040
1000 154.448000 0.509960
1000 156.212000 2.273960
10000 154.271600 0.333560
10000 154.271600 0.333560
10000 154.271600 0.333560
10000 155.780800 1.842760
10000 153.409200 0.528840
10000 154.389200 0.451160
10000 153.409200 0.528840
10000 153.605200 0.332840
10000 153.899200 0.038840
10000 153.487600 0.450440
100000 154.222600 0.284560
100000 153.718880 0.219160
100000 153.718880 0.219160
100000 154.024640 0.086600
100000 153.975640 0.037600
100000 154.328440 0.390400
100000 153.938400 0.000360
100000 153.858040 0.080000
100000 153.703200 0.234840
100000 154.224560 0.286520
1000000 153.909000 0.029040
1000000 153.979364 0.041324
1000000 153.906844 0.031196
1000000 153.907824 0.030216
1000000 153.907824 0.030216
1000000 153.988968 0.050928
1000000 153.880188 0.057852
1000000 153.853532 0.084508
1000000 153.904884 0.033156
1000000 153.999944 0.061904
10000000 153.942104 0.004064
10000000 153.951218 0.013178
10000000 153.899788 0.038252
10000000 153.932324 0.005716
10000000 153.924072 0.013968
10000000 153.916977 0.021063
10000000 153.933539 0.004501
10000000 153.927110 0.010930
10000000 153.925484 0.012556
10000000 153.926816 0.011224
