N win lose
1000 0 1000
1000 0 1000
1000 0 1000
1000 0 1000
1000 0 1000
1000 0 1000
1000 0 1000
1000 0 1000
1000 0 1000
1000 0 1000
2000 0 2000
2000 0 2000
2000 0 2000
2000 0 2000
2000 0 2000
2000 0 2000
2000 0 2000
2000 2 1998
2000 0 2000
2000 0 2000
4000 0 4000
4000 1 3999
4000 0 4000
4000 0 4000
4000 1 3999
4000 0 4000
4000 0 4000
4000 0 4000
4000 1 3999
4000 0 4000
8000 1 7999
8000 0 8000
8000 1 7999
8000 0 8000
8000 2 7998
8000 0 8000
8000 0 8000
8000 0 8000
8000 0 8000
8000 0 8000
16000 0 16000
16000 0 16000
16000 0 16000
16000 0 16000
16000 0 16000
16000 0 16000
16000 0 16000
16000 0 16000
16000 1 15999
16000 0 16000
32000 1 31999
32000 1 31999
32000 1 31999
32000 0 32000
32000 3 31997
32000 1 31999
32000 0 32000
32000 1 31999
32000 3 31997
32000 0 32000
64000 5 63995
64000 2 63998
64000 4 63996
64000 1 63999
64000 1 63999
64000 0 64000
64000 0 64000
64000 1 63999
64000 2 63998
64000 0 64000
128000 2 127998
128000 2 127998
128000 4 127996
128000 3 127997
128000 5 127995
128000 4 127996
128000 8 127992
128000 2 127998
128000 2 127998
128000 1 127999
256000 5 255995
256000 3 255997
256000 6 255994
256000 6 255994
256000 1 255999
256000 4 255996
256000 5 255995
256000 13 255987
256000 12 255988
256000 7 255993
512000 15 511985
512000 12 511988
512000 9 511991
512000 15 511985
512000 14 511986
512000 11 511989
512000 11 511989
512000 17 511983
512000 9 511991
512000 21 511979
1024000 20 1023980
1024000 32 1023968
1024000 21 1023979
1024000 30 1023970
1024000 28 1023972
1024000 22 1023978
1024000 28 1023972
1024000 33 1023967
1024000 19 1023981
1024000 34 1023966
2048000 55 2047945
2048000 50 2047950
2048000 47 2047953
2048000 62 2047938
2048000 61 2047939
2048000 66 2047934
2048000 65 2047935
2048000 65 2047935
2048000 43 2047957
2048000 50 2047950
4096000 120 4095880
4096000 125 4095875
4096000 99 4095901
4096000 104 4095896
4096000 118 4095882
4096000 102 4095898
4096000 114 4095886
4096000 107 4095893
4096000 95 4095905
4096000 88 4095912
8192000 205 8191795
8192000 249 8191751
8192000 222 8191778
8192000 236 8191778
8192000 244 8191778
8192000 223 8191778
8192000 222 8191778
8192000 241 8191778
8192000 236 8191778
8192000 222 8191778
