total pi gosa
10000 3.170000 2.840735e-02
10000 3.106000 3.559265e-02
10000 3.124800 1.679265e-02
10000 3.166000 2.440735e-02
10000 3.126400 1.519265e-02
10000 3.117600 2.399265e-02
10000 3.117600 2.399265e-02
10000 3.120800 2.079265e-02
10000 3.126400 1.519265e-02
10000 3.097600 4.399265e-02
50000 3.149440 7.847346e-03
50000 3.144000 2.407346e-03
50000 3.139360 2.232654e-03
50000 3.129760 1.183265e-02
50000 3.140800 7.926536e-04
50000 3.142160 5.673464e-04
50000 3.137040 4.552654e-03
50000 3.137040 4.552654e-03
50000 3.137040 4.552654e-03
50000 3.132640 8.952654e-03
90000 3.142756 1.162902e-03
90000 3.142267 6.740131e-04
90000 3.146222 4.629569e-03
90000 3.135600 5.992654e-03
90000 3.134578 7.014876e-03
90000 3.149511 7.918458e-03
90000 3.142933 1.340680e-03
90000 3.140978 6.148758e-04
90000 3.137644 3.948209e-03
90000 3.137644 3.948209e-03
130000 3.149231 7.638116e-03
130000 3.140462 1.131115e-03
130000 3.135292 6.300346e-03
130000 3.145323 3.730423e-03
130000 3.138831 2.761884e-03
130000 3.137938 3.654192e-03
130000 3.145662 4.068885e-03
130000 3.147200 5.607346e-03
130000 3.136954 4.638807e-03
130000 3.136554 5.038807e-03
170000 3.137482 4.110301e-03
170000 3.144518 2.924993e-03
170000 3.146118 4.524993e-03
170000 3.132776 8.816183e-03
170000 3.140165 1.427948e-03
170000 3.137859 3.733830e-03
170000 3.147035 5.442641e-03
170000 3.138894 2.698536e-03
170000 3.135906 5.686771e-03
170000 3.133576 8.016183e-03
210000 3.135410 6.183130e-03
210000 3.131448 1.014503e-02
210000 3.142190 5.978226e-04
210000 3.142190 5.978226e-04
210000 3.139848 1.745035e-03
210000 3.143848 2.254965e-03
210000 3.142343 7.502036e-04
210000 3.144781 3.188299e-03
210000 3.143029 1.435918e-03
210000 3.143619 2.026394e-03
250000 3.137712 3.880654e-03
250000 3.141456 1.366536e-04
250000 3.142912 1.319346e-03
250000 3.139536 2.056654e-03
250000 3.141088 5.046536e-04
250000 3.141088 5.046536e-04
250000 3.143120 1.527346e-03
250000 3.140112 1.480654e-03
250000 3.145424 3.831346e-03
250000 3.137168 4.424654e-03
290000 3.146510 4.917691e-03
290000 3.137366 4.227136e-03
290000 3.141655 6.251882e-05
290000 3.138400 3.192654e-03
290000 3.142386 7.935533e-04
290000 3.141572 2.023980e-05
290000 3.146621 5.028036e-03
290000 3.144179 2.586657e-03
290000 3.144179 2.586657e-03
290000 3.139628 1.965067e-03
330000 3.139067 2.525987e-03
330000 3.138727 2.865381e-03
330000 3.139915 1.677502e-03
330000 3.144533 2.940680e-03
330000 3.142388 7.952252e-04
330000 3.140448 1.144169e-03
330000 3.146436 4.843710e-03
330000 3.142473 8.800737e-04
330000 3.138388 3.204775e-03
330000 3.144133 2.540680e-03
370000 3.143384 1.791130e-03
370000 3.143384 1.791130e-03
370000 3.138919 2.673735e-03
370000 3.137989 3.603464e-03
370000 3.144368 2.774914e-03
370000 3.139859 1.733194e-03
370000 3.142562 9.695086e-04
370000 3.137049 4.544005e-03
370000 3.141957 3.641032e-04
370000 3.139254 2.338600e-03
410000 3.137756 3.836556e-03
410000 3.141961 3.683220e-04
410000 3.140663 9.292390e-04
410000 3.137971 3.621922e-03
410000 3.146020 4.426859e-03
410000 3.141620 2.685861e-05
410000 3.141620 2.685861e-05
410000 3.142868 1.275639e-03
410000 3.142029 4.366147e-04
410000 3.141785 1.927123e-04
450000 3.141120 4.726536e-04
450000 3.141396 1.970980e-04
450000 3.143662 2.069569e-03
450000 3.140622 9.704314e-04
450000 3.144204 2.611791e-03
450000 3.141991 3.984575e-04
450000 3.146222 4.629569e-03
450000 3.136258 5.334876e-03
450000 3.143929 2.336235e-03
450000 3.140880 7.126536e-04
490000 3.141551 4.163318e-05
490000 3.141461 1.314291e-04
490000 3.143633 2.039999e-03
490000 3.139551 2.041633e-03
490000 3.140204 1.388572e-03
490000 3.137714 3.878368e-03
490000 3.137804 3.788572e-03
490000 3.141624 3.183621e-05
490000 3.140114 1.478368e-03
490000 3.142016 4.236729e-04
500000 3.144608 3.015346e-03
500000 3.139808 1.784654e-03
500000 3.136384 5.208654e-03
500000 3.141528 6.465359e-05
500000 3.141528 6.465359e-05
500000 3.140968 6.246536e-04
500000 3.142624 1.031346e-03
500000 3.143216 1.623346e-03
500000 3.142416 8.233464e-04
500000 3.144752 3.159346e-03
