success total percentage gosa
0 10000 0.000000 1.304461e-04
1 10000 0.000100 3.044613e-05
0 10000 0.000000 1.304461e-04
1 10000 0.000100 3.044613e-05
1 10000 0.000100 3.044613e-05
1 10000 0.000100 3.044613e-05
0 10000 0.000000 1.304461e-04
3 10000 0.000300 1.695539e-04
1 10000 0.000100 3.044613e-05
0 10000 0.000000 1.304461e-04
1 20000 0.000050 8.044613e-05
1 20000 0.000050 8.044613e-05
6 20000 0.000300 1.695539e-04
1 20000 0.000050 8.044613e-05
3 20000 0.000150 1.955387e-05
3 20000 0.000150 1.955387e-05
0 20000 0.000000 1.304461e-04
6 20000 0.000300 1.695539e-04
4 20000 0.000200 6.955387e-05
4 20000 0.000200 6.955387e-05
6 40000 0.000150 1.955387e-05
8 40000 0.000200 6.955387e-05
8 40000 0.000200 6.955387e-05
4 40000 0.000100 3.044613e-05
8 40000 0.000200 6.955387e-05
4 40000 0.000100 3.044613e-05
5 40000 0.000125 5.446126e-06
6 40000 0.000150 1.955387e-05
4 40000 0.000100 3.044613e-05
4 40000 0.000100 3.044613e-05
11 80000 0.000138 7.053874e-06
19 80000 0.000237 1.070539e-04
12 80000 0.000150 1.955387e-05
6 80000 0.000075 5.544613e-05
6 80000 0.000075 5.544613e-05
10 80000 0.000125 5.446126e-06
11 80000 0.000138 7.053874e-06
12 80000 0.000150 1.955387e-05
8 80000 0.000100 3.044613e-05
14 80000 0.000175 4.455387e-05
21 160000 0.000131 8.038742e-07
11 160000 0.000069 6.169613e-05
17 160000 0.000106 2.419613e-05
20 160000 0.000125 5.446126e-06
21 160000 0.000131 8.038742e-07
16 160000 0.000100 3.044613e-05
24 160000 0.000150 1.955387e-05
22 160000 0.000138 7.053874e-06
22 160000 0.000138 7.053874e-06
24 160000 0.000150 1.955387e-05
35 320000 0.000109 2.107113e-05
42 320000 0.000131 8.038742e-07
37 320000 0.000116 1.482113e-05
42 320000 0.000131 8.038742e-07
44 320000 0.000138 7.053874e-06
36 320000 0.000112 1.794613e-05
50 320000 0.000156 2.580387e-05
46 320000 0.000144 1.330387e-05
39 320000 0.000122 8.571126e-06
40 320000 0.000125 5.446126e-06
85 640000 0.000133 2.366374e-06
101 640000 0.000158 2.736637e-05
76 640000 0.000119 1.169613e-05
68 640000 0.000106 2.419613e-05
98 640000 0.000153 2.267887e-05
76 640000 0.000119 1.169613e-05
83 640000 0.000130 7.586258e-07
90 640000 0.000141 1.017887e-05
93 640000 0.000145 1.486637e-05
87 640000 0.000136 5.491374e-06
140 1280000 0.000109 2.107113e-05
139 1280000 0.000109 2.185238e-05
174 1280000 0.000136 5.491374e-06
142 1280000 0.000111 1.950863e-05
145 1280000 0.000113 1.716488e-05
179 1280000 0.000140 9.397624e-06
162 1280000 0.000127 3.883626e-06
150 1280000 0.000117 1.325863e-05
167 1280000 0.000130 2.262425e-08
184 1280000 0.000144 1.330387e-05
282 2560000 0.000110 2.028988e-05
305 2560000 0.000119 1.130550e-05
362 2560000 0.000141 1.096012e-05
321 2560000 0.000125 5.055501e-06
353 2560000 0.000138 7.444499e-06
323 2560000 0.000126 4.274251e-06
350 2560000 0.000137 6.272624e-06
330 2560000 0.000129 1.539876e-06
329 2560000 0.000129 1.930501e-06
340 2560000 0.000133 2.366374e-06
652 5120000 0.000127 3.102376e-06
603 5120000 0.000118 1.267269e-05
684 5120000 0.000134 3.147624e-06
638 5120000 0.000125 5.836751e-06
674 5120000 0.000132 1.194499e-06
673 5120000 0.000131 9.991867e-07
683 5120000 0.000133 2.952312e-06
661 5120000 0.000129 1.344563e-06
654 5120000 0.000128 2.711751e-06
673 5120000 0.000131 9.991867e-07
1338 10240000 0.000131 2.179367e-07
1272 10240000 0.000124 6.227376e-06
1334 10240000 0.000130 1.726883e-07
1290 10240000 0.000126 4.469563e-06
1344 10240000 0.000131 8.038742e-07
1290 10240000 0.000126 4.469563e-06
1341 10240000 0.000131 5.109055e-07
1311 10240000 0.000128 2.418782e-06
1271 10240000 0.000124 6.325032e-06
1296 10240000 0.000127 3.883626e-06
2667 20480000 0.000130 2.215164e-07
2731 20480000 0.000133 2.903484e-06
2690 20480000 0.000131 9.015305e-07
2661 20480000 0.000130 5.144851e-07
2660 20480000 0.000130 5.633133e-07
2658 20480000 0.000130 6.609695e-07
2673 20480000 0.000131 7.145237e-08
2703 20480000 0.000132 1.536296e-06
2571 20480000 0.000126 4.909016e-06
2670 20480000 0.000130 7.503200e-08
5176 40960000 0.000126 4.078938e-06
5282 40960000 0.000129 1.491048e-06
5241 40960000 0.000128 2.492024e-06
5220 40960000 0.000127 3.004720e-06
5202 40960000 0.000127 3.444173e-06
5290 40960000 0.000129 1.295735e-06
5283 40960000 0.000129 1.466634e-06
5307 40960000 0.000130 8.806961e-07
5165 40960000 0.000126 4.347493e-06
5367 40960000 0.000131 5.841477e-07
10551 81920000 0.000129 1.649739e-06
10580 81920000 0.000129 1.295735e-06
10514 81920000 0.000128 2.101399e-06
10485 81920000 0.000128 2.455403e-06
10514 81920000 0.000128 2.101399e-06
10528 81920000 0.000129 1.930501e-06
10662 81920000 0.000130 2.947586e-07
10583 81920000 0.000129 1.259114e-06
10484 81920000 0.000128 2.467610e-06
10715 81920000 0.000131 3.522141e-07










