kaisuu min mid max
10000 0 4 0
10000 0 4 0
10000 0 1 0
10000 0 2 0
10000 0 3 0
10000 0 0 0
10000 0 3 0
10000 0 3 0
10000 0 0 0
10000 0 1 0
100000 0 12 0
100000 0 14 0
100000 0 11 0
100000 0 12 0
100000 0 15 0
100000 0 15 0
100000 0 11 1
100000 0 9 0
100000 1 7 0
100000 1 14 0
1000000 2 134 2
1000000 3 113 1
1000000 4 124 5
1000000 5 106 0
1000000 3 133 1
1000000 3 141 1
1000000 3 117 0
1000000 2 121 2
1000000 4 106 1
1000000 6 120 0
10000000 36 1227 18
10000000 43 1267 8
10000000 36 1198 16
10000000 30 1286 15
10000000 27 1199 19
10000000 31 1211 14
10000000 32 1229 12
10000000 29 1204 18
10000000 41 1211 16
10000000 39 1208 10
