total percentage true
10 0.200000 2
10 0.200000 2
10 0.000000 0
10 0.000000 0
10 0.000000 0
10 0.000000 0
10 0.300000 3
10 0.100000 1
10 0.100000 1
10 0.400000 4
100 0.170000 17
100 0.300000 30
100 0.240000 24
100 0.200000 20
100 0.210000 21
100 0.180000 18
100 0.180000 18
100 0.220000 22
100 0.190000 19
100 0.260000 26
1000 0.212000 212
1000 0.240000 240
1000 0.204000 204
1000 0.214000 214
1000 0.197000 197
1000 0.208000 208
1000 0.208000 208
1000 0.238000 238
1000 0.223000 223
1000 0.223000 223
10000 0.216000 2160
10000 0.211400 2114
10000 0.209500 2095
10000 0.209700 2097
10000 0.223800 2238
10000 0.214900 2149
10000 0.214400 2144
10000 0.214400 2144
10000 0.214300 2143
10000 0.218300 2183
100000 0.215480 21548
100000 0.214450 21445
100000 0.213930 21393
100000 0.213760 21376
100000 0.215600 21560
100000 0.215890 21589
100000 0.214960 21496
100000 0.215930 21593
100000 0.214460 21446
100000 0.214450 21445
1000000 0.214765 214765
1000000 0.215275 215275
1000000 0.214865 214865
1000000 0.214953 214953
1000000 0.215352 215352
1000000 0.215115 215115
1000000 0.214667 214667
1000000 0.215858 215858
1000000 0.214788 214788
1000000 0.215076 215076
10000000 0.215152 2151525
10000000 0.214940 2149397
10000000 0.215078 2150776
10000000 0.215169 2151686
10000000 0.215027 2150274
10000000 0.214827 2148273
10000000 0.214941 2149407
10000000 0.215212 2152121
10000000 0.214931 2149311
10000000 0.214819 2148186
100000000 0.214940 21493983
100000000 0.215104 21510446
100000000 0.214993 21499334
100000000 0.214997 21499722
100000000 0.214976 21497576
100000000 0.215040 21503988
100000000 0.214953 21495291
100000000 0.214971 21497127
100000000 0.214970 21496964
100000000 0.215016 21501599
